X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
0.000000,0.693458,0.672206,0.677036,0.695390,0.693136,0.669952,0.674782,0.677036,0.748106,0.681421,0.664025,0.728133,0.682710,0.653072,0.663381,0.650817,0.000000,
0.004000,0.695390,0.673816,0.679290,0.697000,0.694746,0.671240,0.676392,0.678324,0.756804,0.682710,0.665636,0.734898,0.684321,0.654683,0.665314,0.651784,0.000000,
0.008000,0.694102,0.672528,0.677358,0.695712,0.692492,0.669630,0.674782,0.676714,0.748428,0.681099,0.664348,0.728133,0.682066,0.653072,0.664025,0.651139,0.000000,
0.012000,0.695390,0.674138,0.679934,0.697644,0.695390,0.671240,0.674782,0.677358,0.756482,0.683676,0.664992,0.734576,0.681744,0.654683,0.665636,0.651784,0.000000,
0.016000,0.693458,0.672528,0.677358,0.696034,0.693780,0.670274,0.675426,0.677358,0.748750,0.680777,0.664025,0.728133,0.681744,0.654039,0.664025,0.651462,0.000000,
0.020000,0.695390,0.673816,0.678646,0.697000,0.694746,0.670596,0.675104,0.678968,0.756482,0.682710,0.665636,0.734898,0.683032,0.654683,0.664670,0.652428,0.000000,
0.024000,0.694746,0.673172,0.678002,0.695712,0.693458,0.670274,0.673172,0.677358,0.748428,0.681421,0.663703,0.728133,0.682066,0.653395,0.663703,0.651139,0.000000,
0.028000,0.694424,0.673816,0.678646,0.696678,0.693136,0.670596,0.675104,0.678002,0.755838,0.682710,0.665314,0.734254,0.683032,0.655327,0.664348,0.651784,0.000000,
0.032000,0.694746,0.673494,0.677680,0.696356,0.694424,0.670596,0.675104,0.677358,0.748428,0.681421,0.664670,0.729099,0.681744,0.654039,0.664025,0.651462,0.000000,
0.036000,0.695712,0.672528,0.678002,0.695712,0.694746,0.670918,0.675426,0.677680,0.754549,0.682710,0.664992,0.733287,0.683676,0.654683,0.665314,0.652106,0.000000,
0.040000,0.695390,0.673172,0.678646,0.696356,0.693136,0.670596,0.675104,0.678002,0.749395,0.681421,0.664348,0.729421,0.682066,0.653395,0.664670,0.651139,0.000000,
0.044000,0.695068,0.672528,0.677680,0.696034,0.693780,0.670596,0.674138,0.677680,0.753583,0.682066,0.664992,0.733287,0.682710,0.654039,0.664992,0.652106,0.000000,
0.048000,0.695390,0.673494,0.678646,0.696356,0.695390,0.671240,0.675104,0.677680,0.750361,0.682388,0.664992,0.730066,0.683032,0.654361,0.663703,0.651139,0.000000,
0.052000,0.694102,0.672850,0.678002,0.696356,0.694102,0.670274,0.675104,0.677358,0.750361,0.683354,0.664670,0.731677,0.682710,0.654683,0.664348,0.652106,0.000000,
0.056000,0.695390,0.673494,0.678646,0.696678,0.694424,0.671240,0.675426,0.679290,0.751328,0.681744,0.664348,0.730710,0.682388,0.653717,0.664348,0.651139,0.000000,
0.060000,0.694102,0.671884,0.677680,0.695390,0.690882,0.670274,0.674460,0.677358,0.751650,0.682388,0.665636,0.731032,0.681744,0.653717,0.663703,0.651784,0.000000,
0.064000,0.695712,0.673172,0.677680,0.697000,0.695068,0.670918,0.676392,0.678324,0.752938,0.682388,0.664670,0.731999,0.684643,0.654361,0.664348,0.651139,0.000000,
0.068000,0.694746,0.672850,0.677680,0.695712,0.693458,0.670596,0.675104,0.677036,0.751005,0.682066,0.661448,0.730388,0.682710,0.654039,0.664025,0.651462,0.000000,
0.072000,0.695390,0.673816,0.678646,0.697000,0.695390,0.671884,0.675748,0.678646,0.753583,0.682388,0.665636,0.732965,0.683032,0.654361,0.664992,0.651784,0.000000,
0.076000,0.694424,0.672528,0.677680,0.695068,0.693136,0.670596,0.674460,0.677358,0.750361,0.681421,0.664670,0.729421,0.682066,0.653717,0.663381,0.651462,0.000000,
0.080000,0.696034,0.674138,0.679290,0.697644,0.694424,0.671562,0.675748,0.678324,0.754549,0.682710,0.664992,0.732965,0.683676,0.654683,0.663703,0.652106,0.000000,
0.084000,0.693458,0.672528,0.675748,0.694746,0.693458,0.669952,0.674460,0.677036,0.749073,0.681421,0.664670,0.728777,0.683999,0.653395,0.664025,0.650495,0.000000,
0.088000,0.697000,0.674138,0.678968,0.697322,0.695068,0.670918,0.676070,0.678646,0.755193,0.682388,0.665314,0.733932,0.683354,0.654683,0.664670,0.651139,0.000000,
0.092000,0.693780,0.672850,0.677680,0.694746,0.693136,0.669630,0.674138,0.676714,0.749073,0.681099,0.664670,0.728777,0.682066,0.653717,0.664348,0.651139,0.000000,
0.096000,0.695712,0.673816,0.678646,0.697322,0.695390,0.671240,0.675104,0.676392,0.755838,0.683354,0.665958,0.734576,0.683354,0.655005,0.665636,0.651462,0.000000,
0.100000,0.693458,0.670918,0.677358,0.695390,0.693458,0.671562,0.674460,0.677036,0.748750,0.681421,0.664348,0.727811,0.681421,0.653072,0.663703,0.650817,0.000000,
0.104000,0.696034,0.673494,0.678646,0.697000,0.694746,0.671240,0.675748,0.678646,0.757448,0.683354,0.664992,0.734898,0.682710,0.654683,0.665636,0.652428,0.000000,
0.108000,0.694746,0.671884,0.677680,0.695068,0.692814,0.670274,0.674138,0.676714,0.749073,0.680777,0.664025,0.728133,0.682388,0.654039,0.663703,0.651139,0.000000,
0.112000,0.695390,0.673816,0.678646,0.696678,0.694746,0.671884,0.676070,0.678002,0.756160,0.683354,0.665636,0.734898,0.683354,0.654683,0.664992,0.651784,0.000000,
0.116000,0.694102,0.672206,0.678002,0.694746,0.693458,0.670274,0.674782,0.676392,0.748106,0.680777,0.664348,0.727489,0.681744,0.654683,0.663703,0.651139,0.000000,
0.120000,0.695068,0.673816,0.678968,0.696678,0.695068,0.670596,0.675426,0.678324,0.755193,0.682710,0.665958,0.733287,0.684643,0.654683,0.664670,0.652106,0.000000,
0.124000,0.693780,0.672206,0.677680,0.696034,0.693780,0.670596,0.674460,0.677358,0.750361,0.681099,0.664670,0.728133,0.681421,0.654039,0.664025,0.650817,0.000000,
0.128000,0.695712,0.673494,0.678002,0.697322,0.694424,0.670918,0.675748,0.678002,0.755516,0.682710,0.665314,0.733932,0.683032,0.655005,0.665314,0.652106,0.000000,
0.132000,0.694746,0.672528,0.677680,0.696356,0.693780,0.670918,0.674782,0.677036,0.749073,0.681744,0.664348,0.729099,0.682066,0.653072,0.664025,0.650817,0.000000,
0.136000,0.695068,0.673816,0.678324,0.695390,0.694746,0.670274,0.675104,0.678968,0.754549,0.683032,0.665314,0.733932,0.683354,0.655327,0.665636,0.651784,0.000000,
0.140000,0.694746,0.672850,0.678324,0.696678,0.694746,0.670596,0.675748,0.677680,0.749717,0.682066,0.664670,0.731677,0.682388,0.654039,0.664348,0.650495,0.000000,
0.144000,0.695068,0.673816,0.678324,0.696356,0.694102,0.669952,0.674782,0.677680,0.752938,0.682710,0.665636,0.732643,0.683676,0.654361,0.664670,0.652106,0.000000,
0.148000,0.695068,0.673172,0.679290,0.696678,0.694746,0.671240,0.675426,0.678968,0.750683,0.681421,0.664670,0.730388,0.682710,0.653395,0.664992,0.650817,0.000000,
0.152000,0.694102,0.672206,0.677680,0.695712,0.693780,0.669308,0.674782,0.676714,0.752938,0.682388,0.665314,0.732321,0.682388,0.654361,0.664670,0.650173,0.000000,
0.156000,0.695390,0.674138,0.679290,0.697966,0.694424,0.671240,0.675104,0.678002,0.751650,0.684965,0.664670,0.730710,0.682710,0.654683,0.664348,0.651139,0.000000,
0.160000,0.694102,0.673816,0.677358,0.696034,0.693458,0.669952,0.674782,0.677358,0.752294,0.682066,0.664992,0.731677,0.682710,0.653395,0.664348,0.651139,0.000000,
0.164000,0.696034,0.673816,0.678646,0.697322,0.694746,0.671562,0.675426,0.678324,0.752938,0.682388,0.664670,0.731677,0.682388,0.654039,0.664025,0.652750,0.000000,
0.168000,0.693780,0.671562,0.677680,0.696034,0.693136,0.670274,0.674460,0.676714,0.751005,0.681421,0.664670,0.730388,0.682388,0.654039,0.663703,0.651462,0.000000,
0.172000,0.696034,0.675426,0.678968,0.696678,0.695068,0.671562,0.675748,0.678324,0.753583,0.682066,0.664992,0.730066,0.683354,0.653717,0.664670,0.652106,0.000000,
