X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
0.000000,0.699576,0.676714,0.681866,0.703118,0.697966,0.676714,0.676070,0.681222,0.766146,0.686254,0.668535,0.742307,0.685931,0.655972,0.666925,0.655005,0.000000,
0.004000,0.701508,0.679290,0.683798,0.705372,0.701508,0.676070,0.677680,0.682510,0.774844,0.687220,0.669502,0.748428,0.686576,0.656616,0.667891,0.655005,0.000000,
0.008000,0.699898,0.677358,0.681866,0.704084,0.698610,0.676392,0.676392,0.681544,0.764536,0.685931,0.668213,0.741341,0.685287,0.655005,0.666603,0.655005,0.000000,
0.012000,0.702474,0.678646,0.683154,0.705694,0.701830,0.677680,0.677358,0.682832,0.776455,0.687542,0.667247,0.749717,0.686576,0.655972,0.668535,0.655327,0.000000,
0.016000,0.699254,0.677036,0.681544,0.703118,0.699576,0.676392,0.676392,0.681222,0.764858,0.685931,0.668535,0.740697,0.686254,0.655327,0.666603,0.657582,0.000000,
0.020000,0.701186,0.681222,0.682832,0.706016,0.700864,0.676714,0.678002,0.683154,0.776777,0.687542,0.669502,0.750039,0.687542,0.657260,0.668213,0.655327,0.000000,
0.024000,0.699898,0.677358,0.682510,0.703118,0.698932,0.676392,0.676714,0.680900,0.763891,0.686576,0.668213,0.740375,0.685609,0.655327,0.666603,0.654361,0.000000,
0.028000,0.701830,0.678968,0.682832,0.705372,0.701186,0.677680,0.677680,0.683154,0.776133,0.687864,0.669824,0.750039,0.685931,0.656616,0.667569,0.655650,0.000000,
0.032000,0.699254,0.677036,0.681866,0.703118,0.699576,0.676070,0.676392,0.681222,0.763891,0.685931,0.668213,0.742630,0.685931,0.656294,0.666603,0.654683,0.000000,
0.036000,0.701508,0.676714,0.683154,0.705050,0.700542,0.677036,0.677358,0.682510,0.776777,0.688187,0.669824,0.750039,0.687542,0.656616,0.668213,0.655972,0.000000,
0.040000,0.699254,0.678002,0.681866,0.703440,0.699254,0.676392,0.676070,0.680578,0.764536,0.686254,0.668535,0.741019,0.685609,0.655650,0.665958,0.654683,0.000000,
