run_id,experiment_type,pattern_type,thickness_mm,run_number,acceleration_ms2,duration_s,tyre_weight_set_g,assembly_weight_g,wheel_radius_cm
NoTyre_1,Control,None,0,1,-0.029931,80.460000,0,,6
NoTyre_2,Control,None,0,2,-0.027413,91.520000,0,,6
NoTyre_3,Control,None,0,3,-0.027914,94.288000,0,,6
NoTyre_4,Control,None,0,4,-0.027647,93.924000,0,,6
NoTyre_5,Control,None,0,5,-0.025974,109.028000,0,,6
NoPattern_5mm_1,Tyre,NoPattern,5,1,-0.098872,23.432000,57,,6
NoPattern_5mm_2,Tyre,NoPattern,5,2,-0.103957,22.848000,57,,6
NoPattern_5mm_3,Tyre,NoPattern,5,3,-0.104527,21.420000,57,,6
NoPattern_5mm_4,Tyre,NoPattern,5,4,-0.106886,22.848000,57,,6
NoPattern_5mm_5,Tyre,NoPattern,5,5,-0.096855,24.796000,57,,6
NoPattern_7mm_1,Tyre,NoPattern,7,1,-0.087631,29.468000,67,,6
NoPattern_7mm_2,Tyre,NoPattern,7,2,-0.077870,31.988000,67,,6
NoPattern_7mm_3,Tyre,NoPattern,7,3,-0.078490,36.672000,67,,6
NoPattern_7mm_4,Tyre,NoPattern,7,4,-0.079295,35.980000,67,,6
NoPattern_7mm_5,Tyre,NoPattern,7,5,-0.073626,31.924000,67,,6
NoPattern_9mm_1,Tyre,NoPattern,9,1,-0.128146,17.944000,78,,6
NoPattern_9mm_2,Tyre,NoPattern,9,2,-0.134940,14.440000,78,,6
NoPattern_9mm_3,Tyre,NoPattern,9,3,-0.134004,13.080000,78,,6
NoPattern_9mm_4,Tyre,NoPattern,9,4,-0.126717,13.340000,78,,6
NoPattern_9mm_5,Tyre,NoPattern,9,5,-0.121882,13.736000,78,,6
Directional_5mm_1,Tyre,Directional,5,1,-0.092642,30.444000,56,,6
Directional_5mm_2,Tyre,Directional,5,2,-0.090721,29.196000,56,,6
Directional_5mm_3,Tyre,Directional,5,3,-0.090818,30.112000,56,,6
Directional_5mm_4,Tyre,Directional,5,4,-0.090190,43.916000,56,,6
Directional_5mm_5,Tyre,Directional,5,5,-0.083797,30.328000,56,,6
Directional_7mm_1,Tyre,Directional,7,1,-0.096499,24.980000,65,,6
Directional_7mm_2,Tyre,Directional,7,2,-0.089647,29.416000,65,,6
Directional_7mm_3,Tyre,Directional,7,3,-0.086115,26.812000,65,,6
Directional_7mm_4,Tyre,Directional,7,4,-0.082595,31.576000,65,,6
Directional_7mm_5,Tyre,Directional,7,5,-0.077923,33.464000,65,,6
Directional_9mm_1,Tyre,Directional,9,1,-0.094619,26.480000,75,,6
Directional_9mm_2,Tyre,Directional,9,2,-0.092617,26.216000,75,,6
Directional_9mm_3,Tyre,Directional,9,3,-0.089984,26.960000,75,,6
Directional_9mm_4,Tyre,Directional,9,4,-0.090307,27.792000,75,,6
Directional_9mm_5,Tyre,Directional,9,5,-0.088651,27.800000,75,,6
Symmetrical_5mm_1,Tyre,Symmetrical,5,1,-0.108882,19.744000,55,,6
Symmetrical_5mm_2,Tyre,Symmetrical,5,2,-0.103957,27.260000,55,,6
Symmetrical_5mm_3,Tyre,Symmetrical,5,3,-0.100353,23.388000,55,,6
Symmetrical_5mm_4,Tyre,Symmetrical,5,4,-0.100670,23.156000,55,,6
Symmetrical_5mm_5,Tyre,Symmetrical,5,5,-0.098207,23.344000,55,,6
Symmetrical_7mm_1,Tyre,Symmetrical,7,1,-0.111808,24.056000,64,,6
Symmetrical_7mm_2,Tyre,Symmetrical,7,2,-0.114212,20.128000,64,,6
Symmetrical_7mm_3,Tyre,Symmetrical,7,3,-0.114696,28.316000,64,,6
Symmetrical_7mm_4,Tyre,Symmetrical,7,4,-0.110767,20.992000,64,,6
Symmetrical_7mm_5,Tyre,Symmetrical,7,5,-0.108088,22.464000,77,,6
Symmetrical_9mm_1,Tyre,Symmetrical,9,1,-0.095541,25.724000,77,,6
Symmetrical_9mm_2,Tyre,Symmetrical,9,2,-0.097291,27.600000,77,,6
Symmetrical_9mm_3,Tyre,Symmetrical,9,3,-0.095408,31.436000,77,,6
Symmetrical_9mm_4,Tyre,Symmetrical,9,4,-0.094241,28.468000,77,,6
Symmetrical_9mm_5,Tyre,Symmetrical,9,5,-0.093813,28.980000,77,,6
